champion,overall_winrate,blue_winrate,red_winrate
Aatrox,0.6667,1.0,0.0
Alistar,0.4,0.6667,0.0
Amumu,1.0,1.0,
Annie,0.5,,0.5
Aphelios,0.6129,0.5385,0.6667
Ashe,0.0,0.0,
Azir,0.4,0.5,0.3333
Braum,0.3636,0.5,0.2857
Camille,0.5714,0.6667,0.5
Draven,0.25,1.0,0.0
Ezreal,0.5455,0.625,0.3333
Fiddlesticks,0.5,0.5,
Fiora,1.0,,1.0
Galio,0.3333,0.0,0.5
Gangplank,1.0,1.0,
Gnar,0.375,0.4,0.3333
Gragas,0.3333,0.2,1.0
Graves,0.5833,0.6316,0.5294
Gwen,0.2857,0.3333,0.25
Irelia,0.2222,0.25,0.2
Jarvan IV,0.4516,0.4615,0.4444
Jax,0.4286,0.5,0.4
Jayce,0.4348,0.4,0.4615
Jhin,0.6429,0.625,0.6667
Jinx,0.0,,0.0
Kai'Sa,0.375,0.5,0.25
Kalista,0.0,,0.0
Kassadin,1.0,,1.0
Kennen,0.7273,0.75,0.7143
LeBlanc,0.5652,0.5882,0.5
Lee Sin,0.5946,0.6667,0.5
Leona,0.3438,0.3333,0.35
Lillia,0.5,1.0,0.0
Lissandra,0.8,0.5,1.0
Lucian,0.6,0.625,0.5
Lulu,0.5625,0.6667,0.5385
Malphite,0.0,0.0,0.0
Malzahar,0.6667,0.5,1.0
Maokai,0.5,0.5,
Miss Fortune,0.4314,0.4762,0.4
Nami,0.5385,0.5556,0.5
Nautilus,0.5,0.5,0.5
Olaf,0.375,0.4,0.3333
Orianna,0.3333,0.4,0.2857
Poppy,0.5,0.0,0.625
Pyke,0.3333,0.0,0.5
Qiyana,0.7,0.8571,0.3333
Rakan,0.6207,0.5,0.8182
Rell,0.5556,0.5,0.6
Renekton,0.5,0.2857,0.8
Rumble,0.3333,0.5,0.0
Ryze,0.4583,0.5,0.4375
Sejuani,0.0,,0.0
Seraphine,0.0,,0.0
Sett,0.3333,1.0,0.0
Shaco,0.0,0.0,
Shen,0.3333,0.0,0.5
Sylas,0.5,0.625,0.375
Syndra,0.6667,0.625,0.7143
Taliyah,0.0,,0.0
Talon,0.5833,0.5,0.6667
Thresh,0.5833,0.7143,0.4
Tristana,0.6667,,0.6667
Trundle,0.5,0.5,0.5
Tryndamere,0.0,,0.0
Twisted Fate,0.5417,0.5,0.6
Varus,0.0,0.0,
Viego,0.5556,0.5556,0.5556
Viktor,0.0,0.0,0.0
Wukong,0.6667,0.6667,
Xayah,0.0,0.0,
Xin Zhao,0.3333,0.2143,0.4375
Yasuo,0.5,0.6667,0.0
Yone,0.0,,0.0
Yuumi,0.5333,0.6154,0.0
Ziggs,0.3333,0.2,0.5
Zilean,0.6667,0.0,1.0
Zoe,0.6429,0.5714,0.7143
