position,type,name,win,total,winrate
1,player_winrate,Canna,50,68,0.735
1,player_winrate,Xiaohu,66,96,0.688
1,player_winrate,Odoamne,21,32,0.656
1,player_winrate,Ale,36,55,0.655
1,player_winrate,Morgan,31,48,0.646
1,player_winrate,xiaolaohu,73,118,0.619
1,player_winrate,Nuguri,82,134,0.612
1,player_winrate,Khan,47,78,0.603
1,player_winrate,Hanabi,45,75,0.6
1,player_winrate,DuDu,50,85,0.588
1,player_winrate,Alphari,43,74,0.581
1,player_winrate,Armut,24,42,0.571
1,player_winrate,Flandre,42,74,0.568
1,player_winrate,Rascal,63,115,0.548
1,player_winrate,Adam,18,35,0.514
1,player_winrate,Ssumday,19,46,0.413
2,player_winrate,Tian,69,91,0.758
2,player_winrate,Closer,32,46,0.696
2,player_winrate,yoHan,19,28,0.679
2,player_winrate,Wei,71,105,0.676
2,player_winrate,Jiejie,63,95,0.663
2,player_winrate,Oner,64,101,0.634
2,player_winrate,Clid,64,106,0.604
2,player_winrate,Canyon,51,85,0.6
2,player_winrate,River,26,44,0.591
2,player_winrate,Willer,24,41,0.585
2,player_winrate,Tarzan,48,85,0.565
2,player_winrate,Bwipo,29,53,0.547
2,player_winrate,Elyoya,57,106,0.538
2,player_winrate,Santorin,22,43,0.512
2,player_winrate,Blaber,13,27,0.481
3,player_winrate,ShowMaker,54,74,0.73
3,player_winrate,Nisqy,36,52,0.692
3,player_winrate,Bdd,30,46,0.652
3,player_winrate,Abbedagge,31,49,0.633
3,player_winrate,Jensen,37,59,0.627
3,player_winrate,Faker,33,54,0.611
3,player_winrate,Cryin,33,55,0.6
3,player_winrate,Scout,35,60,0.583
3,player_winrate,Maple,32,55,0.582
3,player_winrate,Chovy,15,26,0.577
3,player_winrate,Doinb,50,91,0.549
3,player_winrate,icon,35,74,0.473
3,player_winrate,Larssen,17,38,0.447
3,player_winrate,Humanoid,18,44,0.409
4,player_winrate,Tactical,35,49,0.714
4,player_winrate,Gumayusi,61,94,0.649
4,player_winrate,Unified,37,58,0.638
4,player_winrate,Hans-sama,33,52,0.635
4,player_winrate,Deft,34,55,0.618
4,player_winrate,GALA,82,133,0.617
4,player_winrate,Light,45,73,0.616
4,player_winrate,Ruler,54,88,0.614
4,player_winrate,Carzzy,36,59,0.61
4,player_winrate,Ghost,27,45,0.6
4,player_winrate,Viper,61,102,0.598
4,player_winrate,Lwx,50,89,0.562
4,player_winrate,Zven,32,65,0.492
4,player_winrate,FBI,12,25,0.48
5,player_winrate,Vsta,34,44,0.773
5,player_winrate,Kaiwing,22,30,0.733
5,player_winrate,Vulcan,24,34,0.706
5,player_winrate,Gaeng,24,34,0.706
5,player_winrate,Iwandy,86,128,0.672
5,player_winrate,Trymbi,18,27,0.667
5,player_winrate,Meiko,47,72,0.653
5,player_winrate,Keria,19,30,0.633
5,player_winrate,Kaiser,33,53,0.623
5,player_winrate,Life,46,75,0.613
5,player_winrate,Crisp,64,105,0.61
5,player_winrate,Ming,42,71,0.592
5,player_winrate,CoreJJ,36,78,0.462
5,player_winrate,Huhi,9,21,0.429
1,champ_winrate,迷失之牙,23,32,0.719
1,champ_winrate,灵罗娃娃,63,96,0.656
1,champ_winrate,盲僧,13,20,0.65
1,champ_winrate,狂暴之心,66,102,0.647
1,champ_winrate,暗裔剑魔,67,106,0.632
2,champ_winrate,德邦总管,29,38,0.763
2,champ_winrate,法外狂徒,38,55,0.691
2,champ_winrate,岩雀,67,99,0.677
2,champ_winrate,德玛西亚皇子,39,63,0.619
2,champ_winrate,盲僧,127,208,0.611
3,champ_winrate,暮光星灵,15,21,0.714
3,champ_winrate,解脱者,82,127,0.646
3,champ_winrate,符文法师,59,95,0.621
3,champ_winrate,蛮族之王,40,67,0.597
3,champ_winrate,封魔剑魂,43,75,0.573
4,champ_winrate,残月之肃,95,150,0.633
4,champ_winrate,圣枪游侠,225,356,0.632
4,champ_winrate,戏命师,29,47,0.617
4,champ_winrate,赏金猎人,71,116,0.612
4,champ_winrate,探险家,46,82,0.561
5,champ_winrate,仙灵女巫,25,33,0.758
5,champ_winrate,幻翎,78,109,0.716
5,champ_winrate,天启者,17,24,0.708
5,champ_winrate,魂锁典狱长,19,28,0.679
5,champ_winrate,血港鬼影,32,49,0.653
1,champ_count,法外狂徒,127,229,0.555
1,champ_count,刀锋舞者,85,142,0.599
1,champ_count,未来守护者,66,117,0.564
1,champ_count,暗裔剑魔,67,106,0.632
1,champ_count,狂暴之心,66,102,0.647
2,champ_count,盲僧,127,208,0.611
2,champ_count,元素女皇,124,204,0.608
2,champ_count,刀锋之影,61,102,0.598
2,champ_count,岩雀,67,99,0.677
2,champ_count,时间刺客,59,97,0.608
3,champ_count,解脱者,82,127,0.646
3,champ_count,符文法师,59,95,0.621
3,champ_count,诡术妖姬,53,93,0.57
3,champ_count,封魔剑魂,43,75,0.573
3,champ_count,刀锋舞者,35,68,0.515
4,champ_count,圣枪游侠,225,356,0.632
4,champ_count,残月之肃,95,150,0.633
4,champ_count,赏金猎人,71,116,0.612
4,champ_count,荣耀行刑官,58,104,0.558
4,champ_count,探险家,46,82,0.561
5,champ_count,唤潮鲛姬,82,127,0.646
5,champ_count,幻翎,78,109,0.716
5,champ_count,魔法猫咪,48,79,0.608
5,champ_count,殇之木乃伊,43,74,0.581
5,champ_count,曙光女神,29,54,0.537
