team,role,player,id
100,Top,Ssumday,nangman topsolo
100,Support,Huhi,Banande
100,Mid,Abbedagge,agdang
100,Mid,Abbedagge,RØYAL Wh1t3zZ
100,Mid,Abbedagge,100 Abbedagge
100,Jungle,Closer,Kral returns
100,ADC,FBI,NA Hopium
C9,Top,Fudge,C9 Fudge Factor
C9,Support,Vulcan,euw tourist
C9,Mid,Perkz,theclutchfact0r
C9,Mid,Perkz,MainChickHotChic
C9,Mid,Perkz,ONEvsC9
C9,Mid,Perkz,PetterFreyschuss
C9,Jungle,Blaber,C9 Blaberfish2
C9,ADC,Zven,C9 ZVENNN
DFM,Top,Evi,Leapfrogger
DFM,Support,Gaeng,CLG EIementz
DFM,Mid,Aria,iceland0
DFM,Jungle,Steal,qqwwqqww
DFM,ADC,Yutapon,CLG Chauster
DK,Top,Khan,Headache Man
DK,Support,BeryL,QJNVJuywetsf
DK,Mid,ShowMaker,SHøWMAKéR
DK,Jungle,Canyon,happy gαme
DK,ADC,Ghost,CocaCola Monster
EDG,Top,Flandre,YQSH
EDG,Support,Meiko,Heimskáut réfur
EDG,Mid,Scout,Kimchi3
EDG,Jungle,Jiejie,Dinner first
EDG,ADC,Viper,Cóbb
FNC,Top,Adam,me like solobolo
FNC,Top,Adam,Sigmα Grindset
FNC,Top,Adam,Cléophé lpb
FNC,Top,Adam,Thats my toplane
FNC,Support,Hylissang,FNC Hylissangg
FNC,Support,Hylissang,FNC PurpleKeria
FNC,Support,Hylissang,FNC Hylissang
FNC,Support,Hylissang,How Win
FNC,Mid,Nisqy,FNC Nisqybaba
FNC,Mid,Nisqy,chomaker
FNC,Jungle,Bwipo,for her sake
FNC,Jungle,Bwipo,everything to me
FNC,Jungle,Bwipo,prime check
FNC,Jungle,Bwipo,FNC Bwipo
FNC,Jungle,Bwipo,Chongus
FNC,ADC,Upset,Meruem12
FNC,ADC,Upset,FNC Upset13
FNC,ADC,Upset,FΝC Upset
FNC,ADC,Upset,DPMGODX
FNC,ADC,Upset,FNC Deft12
FNC,ADC,Upset,Willhelm Brauns
FPX,Top,Nuguri,Stargazer7
FPX,Top,xiaolaohu,Thel1ttletiger
FPX,Support,Crisp,woshidoinb
FPX,Mid,Doinb,woshilqs
FPX,Jungle,Tian,sejun1
FPX,ADC,Lwx,pan ni shi nian
GEN,Top,Rascal,No Surpr1ses
GEN,Support,Life,acaweamsdacqwqwe
GEN,Mid,Bdd,byeeeeeee
GEN,Jungle,Clid,Like a n1nja
GEN,ADC,Ruler,Gen G Ru1er
HLE,Top,DuDu,Im fine thx you
HLE,Top,Morgan,Star is coming
HLE,Support,Vsta,wow cold
HLE,Mid,Chovy,Shrimp Shark
HLE,Jungle,Willer,White Whales
HLE,Jungle,yoHan,Orange Killer
HLE,ADC,Deft,IcelandWalrus
LNG,Top,Ale,LNGLNGLNG
LNG,Support,Iwandy,GNLGNL
LNG,Mid,icon,Goldguns88
LNG,Jungle,Tarzan,LngLng
LNG,ADC,Light,laozitianye
MAD,Top,Armut,MAD Captain
MAD,Top,Armut,2021Worlds0033
MAD,Top,Armut,MAD Armut
MAD,Top,Armut,TR STAGE BEAST
MAD,Top,Armut,ExcusesLike
MAD,Support,Kaiser,livelyfish5
MAD,Support,Kaiser,my adc  cringe
MAD,Support,Kaiser,werewhale
MAD,Support,Kaiser,zta
MAD,Mid,Humanoid,Jonah Falcon
MAD,Mid,Humanoid,PogMirkler
MAD,Jungle,Elyoya,bobber kong
MAD,Jungle,Elyoya,Ratón calvo
MAD,Jungle,Elyoya,Elyoyaaa
MAD,ADC,Carzzy,bob kong
MAD,ADC,Carzzy,mommys milk yum
MAD,ADC,Carzzy,RNG CRYIN1
MAD,ADC,Carzzy,hello bro
MAD,ADC,Carzzy,DWG BOOM
PSG,Top,Hanabi,Kafuu chin0
PSG,Support,Kaiwing,YTSearch Hanabi
PSG,Mid,Maple,Viikingr
PSG,Jungle,River,Icelandwinter
PSG,ADC,Unified,2021Worlds0076
RGE,Top,Odoamne,EU POLIZEI
RGE,Top,Odoamne,tempname87678
RGE,Top,Odoamne,Odoamne
RGE,Top,Odoamne,MAD Ayayaya
RGE,Support,Trymbi,hoodieteamgamer
RGE,Support,Trymbi,2021Worlds0055
RGE,Support,Trymbi,2021Worlds0054
RGE,Support,Trymbi,AdiTheGoodGuy
RGE,Mid,Larssen,RGE Larssεn
RGE,Mid,Larssen,land of ice
RGE,Jungle,Inspired,time wiII tell
RGE,Jungle,Inspired,Sοfm Jr
RGE,Jungle,Inspired,Great server xD
RGE,ADC,Hans-sama,kjhggdfs
RGE,ADC,Hans-sama,2021Worlds0053
RGE,ADC,Hans-sama,1245124
RGE,ADC,Hans-sama,HANSSAMAA
RGE,ADC,Hans-sama,IΗans sama
RGE,ADC,Hans-sama,I cant leash
RGE,ADC,Hans-sama,Hαns sαmα
RGE,ADC,Hans-sama,HANSSAMAAA
RGE,ADC,Hans-sama,2170216
RGE,ADC,Hans-sama,2021Worlds0052
RGE,ADC,Hans-sama,LXKAOwl
RNG,Top,Xiaohu,lucky iceland 
RNG,Support,Ming,songqingliu gdlk
RNG,Mid,Cryin,Karzzy11
RNG,Jungle,Wei,2021Worlds
RNG,ADC,GALA,2021Worlds0171
T1,Top,Canna,2021Worlds0113
T1,Support,Keria,Genius Monster
T1,Mid,Faker,wincg
T1,Jungle,Oner,Thinking PLZ 
T1,ADC,Gumayusi,Giant Monster
TL,Top,Alphari,masked gamer XD
TL,Top,Alphari,Alphari
TL,Support,CoreJJ,ChatDisabler94
TL,Mid,Jensen,2021Worlds0019
TL,Jungle,Santorin,ChatDisabler97
TL,ADC,Tactical,TL Tactical
